Priority,Business Name,Type,City,Phone / WhatsApp,Email,Instagram,Website?,Outreach Angle,Source
⭐ WARM,Houssaine Sliman,Tour Guide,Marrakech,,,,None found,Mountain & desert specialist. Niche site = stand out from big operators.,TourHQ
⭐ WARM,Noureddine Nour,Tour Guide,Marrakech,,,,None found,Freelance guide since 2005 speaks 5 languages. High-value prospect.,TourHQ
⭐ WARM,Café Medina Rouge,Restaurant,Marrakech,,,,None found,#279 on Tripadvisor with no website. Pitch Starter with booking form.,Tripadvisor
⭐ WARM,Restaurant Médina Saveurs,Restaurant,Marrakech,,,,None found,On Tripadvisor with no website. Easy sell — show menu + contact page.,Tripadvisor
⭐ WARM,Café Restaurant Traditionnel,Restaurant,Marrakech,,,,None found,Traditional café on Tripadvisor with no website. Starter package is ideal.,Tripadvisor
⭐ WARM,Artisanat et Décoration,Boutique,Marrakech,+212 657 595 760,contact@artisanatetdecoration.com,,Basic site,Has basic site. Pitch modern redesign + integrated online shop.,Search results
⭐ WARM,Moroccan Artisans,Boutique,Morocco,,,@moroccartisans,None found,Large community account 10K+ followers. Instagram-only e-shop opportunity.,Instagram
🔥 HOT,Alrashid Marrakech,Riad,Marrakech,+212 649 817 138,,@alrashid.marrakech,None found,Active Instagram with no website. Hot lead — direct WhatsApp + DM approach.,Instagram / Google Maps
🔥 HOT,Riad Dar Num,Riad,Marrakech,,,@riaddarnum,None found,Private boutique riad 4 bedrooms Instagram-only. Exclusive rental = needs direct booking site.,Instagram
🔥 HOT,Dar Lella Chama,Riad,Chefchaouen,+212 663 421 980,,@riad_dar_chama_chefchaouen,None found,Newly opened riad Instagram-only. Perfect timing — offer launch website deal.,Instagram / Google Maps
🔥 HOT,EL PALACIO SPA Riad,Riad,Chefchaouen,+212 660 411 522,Riad.elpalaciospa@gmail.com,@riad_elpalacio_spa,None found,Luxury spa riad with email + phone but no website. High-ticket client potential.,Instagram / Google Maps
🔥 HOT,Riad Green House Fes,Riad,Fes,+212 658 516 343,,@riadgreenhousefes,None found,Instagram-only fes riad with phone. Easy WhatsApp reach + DM combo.,Instagram / Google Maps
🔥 HOT,Riad Alassala Fes,Riad,Fes,+212 774 191 560,,@riadalassala,None found,Active Instagram riad in Fes medina no website. Show RiadConnect as proof.,Instagram / Google Maps
🔥 HOT,Riad Fes Iline,Riad,Fes,+212 696 079 790,,@riadfesiline,None found,Instagram + phone but no website. Great WhatsApp target.,Instagram / Google Maps
🔥 HOT,Riad Kettani Fes Medina,Riad,Fes,,,@riad_kettani_fes_medina,None found,Instagram-only medina riad in Fes. DM with RiadConnect demo.,Instagram
🔥 HOT,Riad Noor Medina,Riad,Fes,,,,None found,Listed on Booking.com only — no own website. Show them cost of commission lost.,Booking.com
🔥 HOT,R'Mila Medina Fez,Riad,Fes,,,,None found,On Booking.com with no own site. Losing 15-20% to OTA commissions every booking.,Booking.com
🔥 HOT,DAR MUKTAB,Riad,Chefchaouen,,,,None found,Spacious 8-room guesthouse — booking via OTA only. Pitch direct booking site.,Google Maps / Booking
🔥 HOT,Dar Kisania,Riad,Chefchaouen,,,,None found,Recently renovated 8-room riad. No own website. Perfect candidate for Pro package.,Google Maps
🔥 HOT,Riad ALHAMBRA,Riad,Chefchaouen,,,,None found,Opened July 2024 — new business no website yet. Catch them early!,Google Maps
🔥 HOT,Dar terrae plus,Riad,Chefchaouen,,,,None found,Opened May 2025 — brand new riad no website. Perfect timing to offer launch site.,Google Maps
🔥 HOT,Dar MD,Riad,Chefchaouen,,,,None found,Opened April 2024 — recently launched no website. Early outreach advantage.,Google Maps
🔥 HOT,Riad Bin Souaki,Riad,Chefchaouen,,,,None found,Instagram-only 4-room riad. Starter package is perfect fit.,Google Maps
🔥 HOT,RIAD CHENGLI,Riad,Chefchaouen,,,,None found,Opened December 2023 — Chinese-Moroccan concept riad no website. Niche market = premium site.,Google Maps
🔥 HOT,Dar Larbi,Riad,Chefchaouen,,,,None found,Opened October 2025 — brand new. Reach them before they build a site themselves.,Google Maps
🔥 HOT,Dar Qaysar,Riad,Chefchaouen,,,,None found,4-room boutique apartment-riad. No website. Exclusive feel = pitch premium Starter.,Google Maps
🔥 HOT,RIAD LA SANTA,Riad,Chefchaouen,,,,None found,Recently renovated — active on OTAs but no own site. Pitch direct booking savings.,Google Maps
⭐ WARM,Riad Arabkech,Riad,Marrakech,+212 700 172 522,Arabkech05@gmail.com,,Basic site,Has Gmail + phone. Old basic site — pitch modern redesign with booking.,riadarabkech.com
⭐ WARM,Riad Dar More,Riad,Marrakech,+212 662 165 599,riad.darmore@gmail.com,,Basic site,Gmail + phone. Dated website = upgrade opportunity with modern design.,riaddarmore.com
⭐ WARM,Riad Houdou,Riad,Marrakech,+212 524 383 793,le.riad.houdou@gmail.com,,Basic site,Direct Gmail + phone. Old site. Offer modern redesign with reservation system.,riadhoudou.com
⭐ WARM,Riad of The Light,Riad,Marrakech,+212 524 383 797,riadofthelight@gmail.com,,Basic site,Has email + phone. Basic old site — upgrade to modern booking-enabled site.,riad-of-the-light.com
⭐ WARM,Le Riad Yasmine,Riad,Marrakech,+212 524 377 012,leriadyasmine@gmail.com,,Basic site,Gmail + phone. Basic site. Pitch redesign with multi-language support (EN/FR/AR).,riad-yasmine.com
⭐ WARM,Riad Tawargit,Riad,Marrakech,+212 524 378 078,riad.tawargit@gmail.com,,Basic site,Gmail + phone. Dated site — strong pitch for modern booking dashboard.,riadtawargit.com
⭐ WARM,Riad Merzouga Kech,Riad,Marrakech,+212 524 390 273,Riadmerzougakech@gmail.com,@riad_merzouga_marrakech,Basic site,Gmail + Instagram + phone. Old site — redesign opportunity with booking integration.,riadmerzouga.com
⭐ WARM,Riad Kasbah Marrakech,Riad,Marrakech,+212 524 389 770,reservation.riadkasbah@gmail.com,,Basic site,Has reservation Gmail + phone. Old site. Pitch modern Pro package with Stripe checkout.,riadkasbahmarrakech.com
⭐ WARM,Riad BE Marrakech,Riad,Marrakech,+212 670 364 105,,@bemarrakech,Has website,134K Instagram followers! Website exists but could offer premium custom redesign + rooftop booking.,be-marrakech.com
⭐ WARM,Riad Cherifa,Riad,Chefchaouen,+212 539 987 402,reservations@riadcherifa.com,@riad.cherifa,Basic site,Has everything but basic site. Upgrade to modern booking with direct payment.,riadcherifa.com
⭐ WARM,Riad Tassili Chaouen,Riad,Chefchaouen,,,,Basic site,On booking platforms. Basic/old site — offer modern upgrade with direct reservations.,Google Maps
⭐ WARM,DAR BLANCA,Riad,Chefchaouen,,,,Basic site,Pool + garden + family rooms. Nice property needs modern website to stand out.,Google Maps
⭐ WARM,Lina Ryad & Spa,Riad,Chefchaouen,,,,Basic site,Spa + pool riad. Existing site is outdated. Offer premium redesign with spa booking.,Google Maps
⭐ WARM,Ryad A&B Sarai,Riad,Chefchaouen,,,,Basic site,Indoor pool riad. Pitch premium design for bike tour & spa booking integrations.,Google Maps
⭐ WARM,Dar Dadicilef,Riad,Chefchaouen,,,,None found,Oldest Andalusian house in Chefchaouen. Historic story = premium heritage website.,Google Maps
⭐ WARM,Riad Tassili Restaurant,Restaurant,Chefchaouen,,,,None found,Riad + African/Moroccan restaurant no website. Menu + reservation site is quick win.,Google Maps
⭐ WARM,Dar Elrio,Riad,Chefchaouen,,,,None found,Rooftop terrace B&B with mountain views. No website — Instagram-bookable only.,Google Maps
⭐ WARM,Riad Emotion Essaouira,Riad,Essaouira,+212 524 472 309,contact@riademotion.com,,Has website,Email + phone. Has website but dated — offer redesign with surf/yoga booking features.,riademotion.com
⭐ WARM,Riad Hotel Essaouira,Riad,Essaouira,,,, Basic site,Basic direct booking page. Offer full website with integrated payment + multilingual.,riadhotelessaouira.com
⭐ WARM,Riad Fes Center,Riad,Fes,,,,Basic site,Fes medina riad with basic online presence. Offer modern redesign.,Google Maps
⭐ WARM,Riad Safir Medina Fes,Riad,Fes,,,,Basic site,On Booking.com with minimal own site. Pitch direct booking system to cut OTA fees.,Booking.com
⭐ WARM,Riad El Amine Fes,Riad,Fes,,,,Has website,Historic Hotels Worldwide member. Niche positioning = pitch premium redesign.,Booking.com
